coordinate_type,side,x,y,level,order_added
superior_lamina,left,0.49826113234245906,0.8902878566380652,c1,1
superior_lamina,left,0.49445103536431867,0.8743999897409487,c2,2
superior_lamina,left,0.49445103536431867,0.8530666552698375,c3,3
superior_lamina,left,0.49445103536431867,0.8343999876076152,c4,4
superior_lamina,left,0.49445103536431867,0.8157333199453929,c5,5
superior_lamina,right,0.5022391985711977,0.798399985687615,c6,6
superior_lamina,left,0.4983451169677582,0.7810666514298372,c6,7
superior_lamina,left,0.49445103536431867,0.7557333167453928,t1,8
superior_lamina,left,0.4983451169677582,0.7317333154653927,t2,9
superior_lamina,left,0.49445103536431867,0.7103999809942815,t3,10
superior_lamina,left,0.49445103536431867,0.6837333129053925,t4,11
superior_lamina,left,0.49445103536431867,0.6570666448165036,t5,12
superior_lamina,left,0.49445103536431867,0.6250666431098368,t6,13
superior_lamina,left,0.49445103536431867,0.5917333079987256,t7,14
superior_lamina,left,0.49445103536431867,0.5637333141347871,t8,15
superior_lamina,left,0.49445103536431867,0.527733312214787,t9,16
superior_lamina,left,0.4983451169677582,0.49439997710367584,t10,17
superior_lamina,left,0.49445103536431867,0.45973330858812017,t11,18
superior_lamina,left,0.4983451169677582,0.42773330688145345,t12,19
superior_lamina,left,0.49445103536431867,0.3890666381525644,l1,20
superior_lamina,left,0.49445103536431867,0.35306663623256435,l2,21
superior_lamina,left,0.49445103536431867,0.3183999677170087,l3,22
superior_lamina,right,0.5022391985711977,0.27573329877478636,l4,23
superior_lamina,left,0.4983451169677582,0.2383999634503418,l5,24
superior_lamina,right,0.5022391985711977,0.19706660756751074,s1,25
