level,body_interspace,vertebral_number,approach,superior_endplate_y,inferior_endplate_y,superior_endplate_inferior_body_y,inferior_endplate_superior_body_y,superior_vert_lateral_pars_x,lateral_tp_x,lateral_pars_x,superior_vert_inferior_pedicle_y,superior_lamina_y,inferior_lamina_y,inferior_pedicle_y,body_center_y,superior_tp_y,inferior_tp_y,inferior_facet_lateral_border_x,inferior_facet_superior_border_y,inferior_facet_inferior_border_y,inferior_facet_medial_border_x
T1,body,8,posterior,0.755,0.74,,,0.48,0.46,0.48,0.769,0.756,0.739,0.747,0.747,0.756,0.747,0.478,0.746,0.738,0.493
T2,body,9,posterior,0.735,0.72,,,0.48,0.46,0.48,0.747,0.732,0.716,0.723,0.723,0.732,0.723,0.478,0.72,0.714,0.494
T3,body,10,posterior,0.71,0.69,,,0.48,0.46,0.48,0.723,0.71,0.688,0.701,0.701,0.71,0.701,0.478,0.695,0.689,0.494
T4,body,11,posterior,0.68,0.665,,,0.48,0.46,0.48,0.701,0.684,0.66,0.672,0.672,0.684,0.672,0.478,0.668,0.658,0.493
T5,body,12,posterior,0.655,0.635,,,0.48,0.46,0.48,0.672,0.657,0.628,0.643,0.643,0.657,0.643,0.478,0.64,0.628,0.492
T6,body,13,posterior,0.625,0.6,,,0.48,0.46,0.48,0.643,0.625,0.596,0.613,0.613,0.625,0.613,0.477,0.606,0.595,0.492
T7,body,14,posterior,0.59,0.57,,,0.48,0.46,0.48,0.613,0.592,0.568,0.583,0.583,0.592,0.583,0.476,0.577,0.566,0.491
T8,body,15,posterior,0.56,0.54,,,0.48,0.46,0.48,0.583,0.564,0.532,0.551,0.551,0.564,0.551,0.473,0.544,0.529,0.492
T9,body,16,posterior,0.53,0.51,,,0.48,0.46,0.48,0.551,0.528,0.501,0.52,0.52,0.528,0.52,0.474,0.508,0.498,0.49
T10,body,17,posterior,0.5,0.475,,,0.48,0.467,0.482,0.52,0.494,0.467,0.481,0.481,0.494,0.481,0.475,0.476,0.465,0.492
